Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
"[32, 16]",ReLU,0.0001,64,0.8470725059509278,0.9203654,-0.29619728246724963
"[32, 16]",ReLU,0.0001,128,9.78186066945394,3.130965,-14.000542210804088
"[32, 16]",Tanh,0.01,16,0.6790691822767257,0.8240565,-0.03911723881146245
"[32, 16]",Tanh,0.01,32,0.6562899231910706,0.81011724,-0.004260226953883617
"[32, 16]",Tanh,0.01,64,0.6618955492973327,0.81356966,-0.01283798878547282
"[32, 16]",Tanh,0.01,128,0.6450313925743103,0.81048924,-0.005182655411420933
"[32, 16]",Tanh,0.001,16,0.530638974905014,0.7284497,0.18801191465169176
"[32, 16]",Tanh,0.001,32,0.6545041650533676,0.80901426,-0.0015276032010991258
"[32, 16]",Tanh,0.001,64,0.6572657585144043,0.8107193,-0.005753423068958652
"[32, 16]",Tanh,0.001,128,0.9239722092946371,0.9646876,-0.4240456822020562
"[32, 16]",Tanh,0.0001,16,1.0426566302776337,1.0211056,-0.5954816668127838
"[32, 16]",Tanh,0.0001,32,4.326829433441162,2.0801032,-5.620949758991361
"[32, 16]",Tanh,0.0001,64,8.776506805419922,2.962517,-12.429881843835318
"[32, 16]",Tanh,0.0001,128,19.35085932413737,4.395061,-28.558361560536852
"[32, 16]",Sigmoid,0.01,16,0.42433437407016755,0.6514095,0.3506800657134629
"[32, 16]",Sigmoid,0.01,32,0.6535684913396835,0.80843586,-9.585519206711801e-05
"[32, 16]",Sigmoid,0.01,64,0.6404290080070496,0.8002681,0.020010285055493737
"[32, 16]",Sigmoid,0.01,128,0.6449911793073019,0.81046724,-0.005128165091047743
"[32, 16]",Sigmoid,0.001,16,0.6277579069137573,0.7923117,0.039399718302897235
"[32, 16]",Sigmoid,0.001,32,0.6573546886444092,0.8107741,-0.005889486581913905
"[32, 16]",Sigmoid,0.001,64,0.6786082506179809,0.82377684,-0.038411899201149735
"[32, 16]",Sigmoid,0.001,128,4.124632835388184,2.0287514,-5.298079289699581
"[32, 16]",Sigmoid,0.0001,16,4.9712210416793825,2.2296236,-6.607002951252898
